username,created_at,text,likes,reposts,section,merged_section
NowThis Impact,2025-05-09 18:55:54,"Aw, Elon can’t sell his ugly dumpster cars. Anyway…

About 10,000 Cybertrucks — the world’s most expensive box on wheels — are currently sitting at Elon Musk’s Tesla dealerships.",104,18,Automotive News,Automotive News
NowThis Impact,2025-05-09 18:11:46,A little hope to close out the week,31,8,Lifestyle,Lifestyle
NowThis Impact,2025-05-09 17:48:23,"The GOP’s Medicaid cuts won’t just harm those currently covered — they could shatter the lives of millions and ripple through every community, threatening the health and stability of us all.",76,4,Health Care,Health
NowThis Impact,2025-05-09 17:37:10,Trump and his appointees at the FDA and HHS have been vague about whether they’ll ban abortion or target abortion medication. They’re using a lot of ‘We’ll look into it’ language — keeping things open-ended because they know banning abortion is unpopular.,41,5,Politics,Politics
NowThis Impact,2025-05-09 17:11:02,"Kristi Noem, aka ICE Barbie, gets called out — ‘your department's out of control’

youtu.be/ClT87m38euY",70,29,Politics,Politics
NowThis Impact,2025-05-09 17:09:32,"We love loopholes, ok?!",140,14,Politics,Politics
NowThis Impact,2025-05-09 15:41:22,MAGA is totally losing it over Pope Leo. But just wait until they find out about the teachings of Jesus.,25,5,Religion,Religion
NowThis Impact,2025-05-09 14:24:29,How has the American Sream become work in a factory for the rest of your life?,19,5,Labor and Employment,Labor and Employment
NowThis Impact,2025-05-09 13:16:35,"RFK Jr. and Trump have picked wellness influencer Casey Means to be surgeon general.

Her medical license has been inactive since 2019. She dropped out of her surgical residency and has no government experience. But sure, let’s make her the leading spokesperson on public health in this country.",20,7,Politics,Politics
NowThis Impact,2025-05-09 12:55:35,‘We started at 10% and we ended at 10%’ — Amazing work by the Trump administration,16,6,Politics,Politics
NowThis Impact,2025-05-09 12:52:56,"Playing this on repeat to get us through.

Hours after Trump’s FBI opened an investigation into New York Attorney General Letitia James, she appeared at a town hall with a powerful message for the resistance.",115,20,Politics,Politics
NowThis Impact,2025-05-09 12:40:32,MAGA isn't going to like this,18,4,Politics,Politics
NowThis Impact,2025-05-09 12:31:41,Trump is basically the Grinch,8,2,Opinion,Opinion
NowThis Impact,2025-05-09 12:22:37,"Seven people have died in ICE custody since Trump took office. Like others, Marie Ange Blaise pleaded for medical care before before her death at the Broward Transitional Center in Florida.",75,17,Immigration News,World
NowThis Impact,2025-05-08 19:09:25,Nancy Mace is obsessed with bathrooms. Weird.,38,5,Politics,Politics
NowThis Impact,2025-05-08 19:07:16,At least 10 cast members of 'Les Misérables' plan to boycott a Kennedy Center performance attended by President Trump.,48,8,Entertainment News,Entertainment
NowThis Impact,2025-05-08 19:04:03,"Congrats, Justice Allison Riggs! You deserve your win, FINALLY.",61,10,Politics,Politics
NowThis Impact,2025-05-08 16:19:00,Did he just wander into the Oval Office?,37,11,Politics,Politics
NowThis Impact,2025-05-08 16:15:46,"Avelo Airlines is going to be the first commercial airline to conduct illegal deportations of immigrants and backlash is strong. 

Activists are holding a national organizing call on May 22 to coordinate demonstrations across all 54 Avelo flight cities on May 30. Learn more at the link in our bio.",71,26,News,General News
NowThis Impact,2025-05-08 16:08:20,Republicans are using our tax dollars to debate transgender athletes' participation in fencing.,30,7,Politics,Politics
NowThis Impact,2025-05-08 13:57:37,"A self-proclaimed tradwife influencer, Lilly Gaddis, grinned smugly during a recent appearance on 'Piers Morgan Uncensored' while openly admitting to using racial slurs and embracing racist views.",51,8,Controversies,Controversies
NowThis Impact,2025-05-08 13:35:20,"In the face of restrictive rainbow flag bans in schools, Salt Lake City, UT, and Boise, ID, are creatively embracing official pride flags to proudly celebrate LGBTQIA+ identities and foster inclusive communities.",109,19,LGBTQIA+ News,LGBTQIA+ News
NowThis Impact,2025-05-08 13:16:46,Trump has spent 40% of his first 100 days in office relaxing at his personal properties.,23,2,Politics,Politics
NowThis Impact,2025-05-08 12:59:45,Targeting a vulnerable community rather than holding the president accountable is textbook MAGA.,46,6,Politics,Politics
NowThis Impact,2025-05-08 12:48:10,This is an iconic dig at Trump.,25,5,Politics,Politics
NowThis Impact,2025-05-07 19:14:05,What movies did we miss?,15,3,Entertainment,Entertainment
NowThis Impact,2025-05-07 19:10:09,"Former ‘Real Housewives of New Jersey’ star Siggy Flicker was nominated by Donald Trump to the U.S. Holocaust Memorial Council, sparking controversy because of her stepson’s alleged involvement in the January 6 Capitol riot.",20,7,Entertainment News,Entertainment
NowThis Impact,2025-05-07 19:04:43,Former ‘Real Housewives of New Jersey’ star Siggy Flicker was nominated by Donald Trump to the U.S. Holocaust Memorial Council amid controversy over her stepson’s alleged involvement in the Jan 6 Capitol riot.,12,3,Politics,Politics
NowThis Impact,2025-05-07 17:31:48,"At a recent House Judiciary hearing, Republicans sat in silence for five minutes rather than debating Democratic Rep. Joe Neguse’s amendment to protect local police grants. Apparently, staying quiet was easier than explaining why they oppose funding for the police.",44,7,Politics,Politics
NowThis Impact,2025-05-07 14:32:57,Maybe this explains why Elon Musk is hoarding his money instead of using it to help us and our planet?,29,3,Business/Finance,Business & Economy
NowThis Impact,2025-05-07 14:24:48,"Adding to Jesse Watters’ ‘rules for men’ — which include not eating soup in public, not crossing your legs, not drinking from a straw, not waving with both hands, and, ironically, not saying the word ‘misogyny’",35,6,Opinion,Opinion
NowThis Impact,2025-05-07 13:13:27,Trump's delusion is on full display,31,3,Politics,Politics
NowThis Impact,2025-05-07 13:05:04,"Somehow Pam Bondi, the top attorney in the country, has never heard of Molly",45,14,Politics,Politics
NowThis Impact,2025-05-07 12:09:28,Pete Hegseth and Sean Duffy — 2 DEI hires — are shockingly bad at this,46,8,Politics,Politics
NowThis Impact,2025-05-06 18:20:58,Arizona Gov. Katie Hobbs (D) has vetoed three bills passed by the state’s Republican-controlled legislature that targeted transgender rights.,71,15,Politics,Politics
NowThis Impact,2025-05-06 18:15:13,How is this real?,51,13,Opinion,Opinion
NowThis Impact,2025-05-06 18:08:34,Shocked.,25,5,Breaking News,Breaking News
NowThis Impact,2025-05-06 18:07:14,Trump has his eyes on California — and not just for Alcatraz 👀,43,9,Politics,Politics
NowThis Impact,2025-05-06 17:14:20,MAGA went from ‘don’t trust the government’ to giving more power to cops — extremely fast,35,7,Politics,Politics
NowThis Impact,2025-05-06 16:51:13,Hear that? Young people are coming for power — and they’re not waiting their turn.,23,5,Politics,Politics
NowThis Impact,2025-05-06 16:31:33,Fear-mongering is the point.,45,4,Opinion,Opinion
NowThis Impact,2025-05-06 16:25:49,"In recent months, Donald Trump has issued executive orders targeting several major law firms that represented clients or causes he opposes — aiming to punish them by suspending security clearances, barring access to government agencies, and threatening to cancel their clients’ federal contracts.",50,8,Politics,Politics
NowThis Impact,2025-05-06 16:19:49,"The Trump administration removed the ‘Faces of Gun Violence’ memorial from the headquarters of the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF).",30,11,Politics,Politics
NowThis Impact,2025-05-06 16:14:08,"Harvard said no — Trump can’t decide who we hire and fire. Now, in retaliation, Trump is halting research on pediatric cancer, Alzheimer’s, and tuberculosis.",36,16,Politics,Politics
NowThis Impact,2025-05-06 12:55:51,Did he just say he wants to reopen Alcatraz because it looks cool in movies?,103,35,Entertainment,Entertainment
NowThis Impact,2025-05-06 12:51:54,"We’re just trying to live the dream, but Trump keeps ruining it with his tariffs.",22,4,Politics,Politics
NowThis Impact,2025-05-06 12:47:11,#FAFO,36,11,Social Media Trends,Social Media Trends
NowThis Impact,2025-05-06 12:34:06,"No, California does not border the Gulf of Mexico.",63,14,Geography,Geography
NowThis Impact,2025-05-05 20:31:31,"Thanks, Trump.",27,3,Politics,Politics
NowThis Impact,2025-05-05 17:36:35,"Remember, it’s never too late to admit you were wrong. Leaving MAGA shares stories from people who decided to leave Trump’s ideology.",33,9,Politics,Politics
NowThis Impact,2025-05-05 17:08:41,Gov. Katie Hobbs (D) secured a crucial victory for Arizona’s disabled families after threatening a blanket veto — a move where she promised to reject every new bill sent to her desk until lawmakers passed a bipartisan fix for the $122 million shortfall in disability funding.,410,16,Politics,Politics
NowThis Impact,2025-05-05 13:49:09,Avoiding responsibility — final boss.,156,17,Opinion,Opinion
NowThis Impact,2025-05-05 13:42:21,'Occupy Mars' sounds pretty good,15,1,Science/Space,Science/Space
NowThis Impact,2025-05-05 13:21:28,Comedian Jena Friedman was reportedly questioned by customs officials simply for making jokes about Trump.,111,5,Entertainment,Entertainment
NowThis Impact,2025-05-05 13:11:50,"Maine successfully pushed back against the Trump administration’s attempt to punish the state for supporting transgender athletes, forcing Trump officials to restore critical school meal funding that had been frozen.",52,6,Politics,Politics
NowThis Impact,2025-05-05 13:08:43,"For the record, drag queens aren’t p*dophiles. There’s no data to back up homophobic claims that LGBTQIA+ people are ‘groomers.’

There are, however, many documented cases of Christian pastors being p*dophiles.",90,34,Social Issues,Social Issues
NowThis Impact,2025-05-05 13:03:04,"The oath of office is clear: ‘I do solemnly swear (or affirm) that I will faithfully execute the Office of President of the United States, and will to the best of my Ability, preserve, protect and defend the Constitution of the United States.’",29,7,Politics,Politics
NowThis Impact,2025-05-05 12:57:24,Trump tried to call Rep. Jasmine Crockett a ‘low IQ person.’ Big mistake.,64,13,Politics,Politics
NowThis Impact,2025-05-05 12:55:12,Trump’s idea of ‘supporting small businesses’ apparently means slapping them with crushing tariffs — and then watching them scramble like it’s a spectator sport.,39,11,Economy,Business & Economy
NowThis Impact,2025-05-05 12:49:04,It’s horrific that we’re still fighting this fight.,30,7,Politics,Politics
NowThis Impact,2025-05-05 12:44:46,"Maine successfully fought back against the Trump administration’s attempt to punish the state for supporting transgender athletes, forcing Trump officials to restore critical school meal funding that had been frozen.",250,8,Politics,Politics
NowThis Impact,2025-05-05 10:41:23,Say it louder for the people in the back,40,3,Opinion,Opinion
NowThis Impact,2025-05-02 18:34:39,Has he been holding a grudge?,127,38,Entertainment,Entertainment
NowThis Impact,2025-05-02 16:08:06,"There is no fetal tissue in vaccines, full stop. But the secretary of health still wants to push that false narrative.",179,50,Health,Health
NowThis Impact,2025-05-02 16:02:29,Missourians voted to enshrine abortion rights in the state’s constitution. But Republicans want to reverse that decision and go against what the people voted for.,120,16,Politics,Politics
NowThis Impact,2025-05-02 15:54:25,100-day milestone — and a few things giving us hope to keep pushing forward.,15,4,Politics,Politics
NowThis Impact,2025-05-02 15:51:11,Who could have predicted Tesla’s sales plummeting?,35,10,Business,Business & Economy
NowThis Impact,2025-05-02 15:43:55,"It's not comfortable, but there are too many parallels to ignore.",71,20,Opinion,Opinion
NowThis Impact,2025-05-02 15:39:02,"The Trump administration has rolled back Hatch Act enforcement to allow federal employees to wear campaign apparel, like MAGA hats, at work — reversing a 2024 prohibition on such items after Election Day.",17,11,Politics,Politics
NowThis Impact,2025-05-02 15:17:01,This 10-year-old take on racism in media is just as relevant now as it was then.,154,48,Opinion,Opinion
NowThis Impact,2025-05-02 14:28:59,Donald Trump’s net worth doubling to $5 billion in 2025 isn’t just a testament to ‘grifters gonna grift’ — it’s a masterclass in turning the Oval Office into a crypto cash register.,40,10,Politics,Politics
NowThis Impact,2025-05-02 14:25:44,"The Trump administration has rolled back Hatch Act enforcement to allow federal employees to wear campaign apparel like MAGA hats at work, reversing a 2024 prohibition on such items after Election Day.",18,7,Politics,Politics
NowThis Impact,2025-05-02 14:16:18,Why the Declaration of Independence could have almost been written about Trump,79,16,Opinion,Opinion
NowThis Impact,2025-05-02 13:28:57,The Republican's silence is deafening,52,13,Politics,Politics
NowThis Impact,2025-05-02 13:20:20,"President Trump has signed an executive order to halt federal funding for NPR and PBS, citing claims of bias in their reporting.

While this move has sparked concerns about the future of beloved programs like ‘Sesame Street,’ the show itself is likely to remain financially stable.",21,4,Politics,Politics
NowThis Impact,2025-05-02 13:16:14,"President Trump has signed an executive order to halt federal funding for NPR and PBS, citing claims of bias in their reporting.

While this move has sparked concerns about the future of beloved programs like ‘Sesame Street,’ the show itself is likely to remain financially stable.",41,7,Politics,Politics
NowThis Impact,2025-05-02 12:33:26,"Just in time for graduation, now it’s on you to clean up the economic dumpster fire Trump created in just 100 days.",54,4,Politics,Politics
NowThis Impact,2025-05-01 18:49:14,"MAGA is about to find out who really pays for tariffs, as experts warn of pandemic-level shortages and price hikes caused by Trump’s tariffs.",65,10,Economy,Business & Economy
NowThis Impact,2025-05-01 18:40:51,There are better ways to try and find a date than offering young women $5K to have a baby.,181,27,Lifestyle,Lifestyle
NowThis Impact,2025-05-01 17:28:26,It’s this easy to show support,512,111,Opinion,Opinion
NowThis Impact,2025-05-01 13:33:10,Elon Musk’s DOGE has been slashing IRS staff by 40% and firing tens of thousands of federal workers — all while bragging about saving $150 billion.,16,2,Business/Finance,Business & Economy
NowThis Impact,2025-05-01 13:27:53,"We tried to warn everyone that U.S. consumers pay for tariffs back when Trump was campaigning on the idea. Now, even Trump voters are finding out the hard way — his economic approval rating has dropped to 37%.",45,8,Economy,Business & Economy
NowThis Impact,2025-05-01 13:25:28,This is a perfect nickname.,135,48,Entertainment,Entertainment
NowThis Impact,2025-05-01 13:17:02,🤣,366,63,Entertainment,Entertainment
NowThis Impact,2025-05-01 13:07:56,Some North Korea b*llshit,52,11,World News,World
NowThis Impact,2025-05-01 13:00:05,Calling your senators worked. The SAVE Act — a bill that would require proof of citizenship to vote — isn’t getting past the Senate.,130,26,Politics,Politics
NowThis Impact,2025-05-01 12:51:14,‘It’s Freaky Friday rules’,61,19,Entertainment,Entertainment
NowThis Impact,2025-05-01 12:32:47,Mike Waltz is finally exiting the White House after his spectacular Signalgate blunder.,20,4,Politics,Politics
NowThis Impact,2025-05-01 11:35:21,Almost forgot what a coherent leader sounds like,129,18,Politics,Politics
